Country,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
Uganda,0.0726,0.1063,0.0343,0.0439,0.1402,0.0647,0.0651,0.0298,0.0675,0.0945,0.036,0.0412,0.0859,0.0546,0.042,0.0214
Ukraine,0.0592,0.0977,0.0558,0.0733,0.0718,0.0326,0.0804,0.0353,0.0561,0.0997,0.0627,0.0964,0.052,0.0333,0.0553,0.0382
United Arab Emirates,0.0833,0.1355,0.0379,0.053,0.1099,0.0606,0.0583,0.0292,0.0671,0.1214,0.0319,0.0483,0.0617,0.0508,0.0303,0.0211
United Kingdom,0.0739,0.1437,0.0258,0.0485,0.088,0.0504,0.036,0.0224,0.0798,0.1601,0.0323,0.0591,0.0762,0.0523,0.0303,0.0212
Tanzania,0.0815,0.1182,0.0467,0.0521,0.1065,0.0569,0.0666,0.0301,0.0681,0.1099,0.0357,0.0502,0.0619,0.0487,0.0415,0.0255
United States,0.071,0.1347,0.0257,0.0469,0.0831,0.0479,0.038,0.0232,0.0755,0.1507,0.0326,0.0573,0.0758,0.0515,0.0356,0.0225
Uruguay,0.0659,0.1357,0.0284,0.0529,0.0486,0.0337,0.0301,0.0197,0.0901,0.1895,0.0567,0.0993,0.0476,0.0392,0.0362,0.0262
Uzbekistan,0.0654,0.1017,0.0681,0.079,0.0853,0.0409,0.1054,0.0363,0.049,0.0718,0.0445,0.0627,0.0717,0.029,0.06,0.029
Vanuatu,0.0795,0.1297,0.0126,0.0503,0.0837,0.1046,0.067,0.021,0.0837,0.1213,0.0335,0.0293,0.0627,0.0753,0.0377,0.021
Vietnam,0.0666,0.1193,0.0282,0.0428,0.1024,0.0656,0.0481,0.0291,0.0615,0.1447,0.0297,0.055,0.0732,0.0718,0.0342,0.0279
Yemen,0.0689,0.1188,0.0498,0.069,0.0642,0.0565,0.0594,0.0325,0.0556,0.1101,0.0546,0.0929,0.0479,0.0383,0.0459,0.0354
Zambia,0.0726,0.0983,0.0435,0.0445,0.1253,0.0559,0.063,0.0264,0.08,0.0977,0.0426,0.0533,0.0819,0.0542,0.0406,0.0203
Zimbabwe,0.0837,0.1134,0.0486,0.0526,0.1134,0.0505,0.0584,0.0272,0.0761,0.1111,0.0383,0.0516,0.0741,0.0436,0.0372,0.0204
